MaxTemp,MinTemp,AvgDewPoint,AvgWindSpeed,AvgDayPrecip,Class
92.5,47.9,40.90526316,1.442105263,0.000001,1
89.4,48,43.34736842,1.389473684,0.000001,1
89.3,54.9,48.32631579,1.421052632,0.000001,1
89.1,50.1,49.07446809,1.787234043,0.000001,1
71.3,59.1,58.88989547,0,0.000001,1
72.9,55.6,57.0543554,0,0.000001,1
73.9,59.3,61.02229965,0,0.000001,1
73.2,59.2,61.81254355,0.013937282,0.000001,1
69.3,59.4,59.83426573,0.003496503,0.000001,1
73,48,53.25296167,0.006968641,0.000001,1
75.6,54.3,53.23797909,0.108013937,0.000001,1
81.8,52.1,49.38222997,0.142857143,0.000001,1
84.1,55.5,49.09651568,0.076655052,0.000001,1
82.7,53.9,55.74947735,0.006968641,0.000001,1
63.1,62.5,55.06666667,0,0.000001,1
67.6,51.6,41.70072993,1.481021898,0.000001,1
83.1,41.7,40.72720848,0.899293286,0.000001,1
94.8,49.6,46.62090592,0.861672474,0.000001,1
93.7,54,49.39163763,1.29825784,0.000001,1
86,49.3,43.78472222,1.085763889,0.000001,1
80.6,45.5,40.75749129,0.989547038,0.000001,1
81.7,50.7,47.44250871,1.177700348,0.000001,1
81.3,48.9,45.87456446,0.903135889,0.000001,1
78.6,46.8,43.80992167,1.784334204,0.000001,1
75.6,51.1,48.90730769,0.731923077,0.000001,1
69.3,41.4,40.23797909,0.798954704,0.000001,1
68.2,58.6,45.30722892,0.825301205,0.000001,1
88.3,41.9,20.88078818,1.247783251,0.000001,1
88.5,46.8,26.57351916,1.869686411,0.000001,1
83.8,41.9,23.18496503,2.083916084,0.000001,1
85.3,40.1,21.71195219,1.386055777,0.000001,1
90.1,42.6,22.06864111,0.958885017,0.000001,1
90.3,41.5,20.03292683,0.218292683,0.000001,1
93,43.5,21.71351351,1.013063063,0.000001,1
91.9,43.2,20.89686411,1.086062718,0.000001,1
90.5,43,20.39198606,1.381533101,0.000001,1
89.6,42.1,21.27073171,1.341463415,0.000001,1
91.4,37.8,18.44390244,1.354703833,0.000001,1
90,55.9,22.4626506,0.997590361,0.000001,1
90.1,42.6,21.52019704,0.945812808,0.000001,1
90.3,41.5,20.03292683,0.218292683,0.000001,1
93,43.5,21.71351351,1.013063063,0.000001,1
91.9,43.2,20.89686411,1.086062718,0.000001,1
90.5,43,20.39198606,1.381533101,0.000001,1
89.6,42.1,21.27073171,1.341463415,0.000001,1
91.4,37.8,18.44390244,1.354703833,0.000001,1
90,39.9,18.60592334,1.693031359,0.000001,1
88.7,36,18.0010453,1.139372822,0.000001,1
88.2,38.1,18.36724739,1.004529617,0.000001,1
86.4,37.6,18.4174216,1.743902439,0.000001,1
78.3,55.4,21.24457831,1.443373494,0.000001,1
90.1,55.8,43.74679803,4.704433498,0.000001,1
94.5,50.4,43.1845614,4.287719298,0.000001,1
95.2,53.8,46.97317073,4.547038328,0.000001,1
87.1,50.9,44.09475524,5.325174825,0.000001,1
88.7,47.5,42.51114983,5.299651568,0.000001,1
95.4,53.2,43.67929825,5.621052632,0.000001,1
95,53.2,42.95261324,5.331010453,0.000001,1
91.9,51.4,39.52526316,5.596491228,0.000001,1
88.3,45.3,33.63578947,5.371929825,0.000001,1
89.6,53.2,37.55993031,7.344947735,0.000001,1
86.9,56.1,39.41713287,9.821678322,0.000001,1
83.8,65.5,43.83493976,9.578313253,0.000001,1
97.2,54.7,42.01453488,6.406976744,0.000001,1
94.3,57.9,39.30892857,6.113095238,0.000001,1
88.2,53.2,43.26472727,2.283636364,0.000001,1
88,51.1,41.08706468,3.44278607,0.000001,1
88.7,47.3,43.59195402,3.103448276,0.000001,1
87.1,49.8,41.46578947,3.561403509,0.000001,1
84.6,45.5,42.09354839,4.129032258,0.000001,1
73.8,43.9,38.672,2.16,0.000001,1
72,40.6,43.12258065,2.225806452,0.000001,1
80.6,41.4,39.6032967,2.296703297,0.000001,1
84.6,39.6,38.15214286,3.771428571,0.000001,1
77.5,55,38.7292887,1.00041841,0.000001,1
76.5,55.9,39.66585366,0.527874564,0.000001,1
77.4,57.2,41.90766551,0.425783972,0.000001,1
78.3,56.3,42.81986063,0.347038328,0.000001,1
82,56.8,41.50940767,0.282229965,0.000001,1
85.6,61.9,40.94425087,0.52195122,0.000001,1
86.4,64.8,37.1543554,0.660278746,0.000001,1
84,63.1,36.70418118,0.52369338,0.000001,1
84,63,34.43170732,0.829965157,0.000001,1
86.2,61.9,35.95400697,0.481184669,0.000001,1
89.2,68.2,36.73658537,0.754006969,0.000001,1
85.8,72.3,40.16144578,0.198795181,0.000001,1
84.9,58.5,49.25812808,3.039901478,0.000001,1
88.5,50.7,47.2712963,2.631944444,0.000001,1
87.4,56.8,50.40662021,2.751916376,0.000001,1
84.9,53.4,48.11986063,2.602090592,0.000001,1
84,51.1,46.40557491,1.514285714,0.000001,1
91,56.3,48.72752613,1.496515679,0.000001,1
90.9,55.8,47.77073171,2.599303136,0.000001,1
89.8,58.1,44.8902439,2.95261324,0.000001,1
86,48.2,37.9466899,1.681533101,0.000001,1
86.7,55.6,44.83310105,2.675609756,0.000001,1
86.2,51.6,43.53992537,2.533208955,0.000001,1
70.5,68.9,52.35,1.758333333,0.000001,1
84.3,54,54.84729064,2.404433498,0.000001,1
88,54.7,56.17421603,1.770383275,0.000001,1
88.7,54.2,55.42508711,2.125783972,0.000001,1
90.3,54.1,54.83623693,1.947038328,0.000001,1
92.3,55.7,55.66550523,2.192334495,0.000001,1
94.2,54.1,53.16083916,2.062587413,0.000001,1
93.3,54,51.45644599,1.778745645,0.000001,1
92.4,54.9,52.53658537,1.716027875,0.000001,1
90,53,49.48083624,1.555749129,0.000001,1
89.3,54.1,53.41463415,1.927526132,0.000001,1
90.2,56.6,56.22648084,1.772125436,0.000001,1
85.5,62.9,52.91566265,0.838554217,0.000001,1
100.2,59.6,50.2238806,2.910447761,0.000001,1
101,62.5,55.43617021,0.968085106,0.000001,1
97.6,59.6,44.77894737,2.221052632,0.000001,1
90.1,59.6,53.16842105,0.136842105,0.000001,1
86.9,53.7,50.10638298,0.074468085,0.000001,1
87,0,52.88541667,0.0625,0.000001,1
96.1,53.2,49.37894737,0.136842105,0.000001,1
93.7,56.9,49.84210526,0.4,0.000001,1
96.7,57.2,50.98947368,0.147368421,0.000001,1
96.5,54.2,47.26595745,0.510638298,0.000001,1
100,58.2,51.38947368,0.315789474,0.000001,1
99.3,67.2,51.33333333,0.074074074,0.000001,1
94.6,64.6,56.1641791,0.104477612,0.000001,1
90.2,69.3,58.82352941,0.117647059,0.000001,1
